"","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866","d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_650611","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales","d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993521","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_660879"
"Physiculus_rastrelliger",0,0.075829384,0,0,0,0,0.146919431,0,0,0
"Halichoeres_semicinctus",0,0.254988914,0,0,0,0,0.039911308,0,0,0
"Equus_ferus",0.25,0,0.006355932,0.186440678,0.146186441,0.031779661,0,0.029661017,0,0
"Ursus_maritimus",0.004123711,0.146391753,0.224742268,0,0,0.057731959,0.082474227,0.156701031,0.249484536,0
"Ovis_ammon",0.061682243,0,0.001869159,0.155140187,0.054205607,0,0,0,0,0
"Ailuropoda_melanoleuca",0,0,0.190053286,0,0,0.76731794,0,0,0,0
"Katsuwonus_pelamis",0,0,0,0,0.003478261,0,0.003478261,0,0,0
"Ovis_canadensis",0.057189542,0,0.006535948,0.217320261,0.130718954,0,0,0.029411765,0,0
"Parophrys_vetulus",0.184375,0.084375,0,0,0,0.00625,0.003125,0,0.1328125,0.0078125
"Kyphosus_azureus",0,0.00761035,0,0,0,0.00456621,0.00456621,0,0,0
"Umbrina_roncador",0,0.083207262,0,0,0,0,0.143721634,0,0,0
"Semicossyphus_pulcher",0,0.033829499,0,0,0,0,0.097428958,0,0,0.00947226
"Roncador_stearnsii",0.01558753,0.029976019,0,0,0,0,0,0.002398082,0,0
"Syngnathus_leptorhynchus",0,0.032745592,0,0.002518892,0,0,0.011335013,0,0,0
"Ceratoscopelus_townsendi",0.007263923,0.033898305,0,0.002421308,0.002421308,0,0,0,0,0
"Stomias_atriventer",0.002171553,0.030401737,0.02062975,0,0,0,0.006514658,0,0,0.345276873
"Anisotremus_davidsonii",0,0.085620198,0,0,0,0,0,0,0,0
"Gymnura_marmorata",0.019408503,0,0,0,0,0,0.003696858,0,0,0
"Facciolella_equatorialis",0.001768347,0.07780725,0.001768347,0,0,0,0.008841733,0,0,0.024756852
"Embiotoca_jacksoni",0,0.16123348,0,0,0,0,0.010572687,0,0,0.002643172
"Heterodontus_francisci",0.043881857,0.037130802,0,0.019409283,0.572995781,0,0.040506329,0,0,0
"Rhacochilus_toxotes",0,0.275834011,0,0,0,0,0,0,0,0
"Hypsopsetta_guttulata",0,0.029654036,0,0.012355848,0.008237232,0.001647446,0,0.00247117,0,0
"Dendroctonus_micans",0,0.958722741,0.002336449,0,0,0,0,0,0,0.009345794
"Scomber_japonicus",0.00933126,0.090202177,0.034992224,0,0.00622084,0.01088647,0.008553655,0,0,0
"Lycodes_cortezianus",0,0.007431874,0,0,0,0,0,0,0,0.006606111
"Proscylliidae",0,0.015635622,0,0,0,0,0,0,0,0
"Fundulus_parvipinnis",0.00180072,0,0,0,0,0,0.0030012,0,0,0
"Sebastes_constellatus",0,0.011785504,0,0,0,0,0.016499705,0,0,0.095462581
"Leuroglossus_stilbius",0,0.100775194,0,0,0,0,0.008305648,0,0.014396456,0.015503876
"Atelerix_albiventris",0.00952381,0.035978836,0.027513228,0,0.033862434,0.677248677,0,0.08042328,0,0
"Dendroctonus_ponderosae",0,0.286231884,0.018115942,0,0,0,0.615942029,0,0,0
"Sebastes_semicinctus",0,0.001490313,0,0,0,0,0,0,0,0.000993542
"Citharichthys_xanthostigma",0,0.06355715,0,0,0,0,0,0,0,0
"Myliobatis_californica",0.012711864,0,0.004237288,0,0,0,0,0,0,0.009322034
"Scylla_paramamosain",0,0.654515327,0,0,0,0.001657001,0,0.006213753,0,0
"Microstomus_pacificus",0.011022044,0.079158317,0,0,0,0,0.002004008,0.014529058,0,0
"Phanerodon_furcatus",0.00116189,0.014329977,0.00929512,0,0.000774593,0,0,0,0,0.00464756
"Engraulis_mordax",0.001758087,0.438466948,0,0,0,0,0,0,0,0.029535865
"Sebastes_serriceps",0,0.00063593,0,0,0,0,0,0,0,0.00254372
"Stereolepis_gigas",0,0.94587156,0,0,0,0.005810398,0,0,0.003669725,0.006422018
"Paralabrax_clathratus",0,0.038438617,0,0,0,0.001191895,0.022943981,0,0,0.054231228
"Carcharias",0.0309626,0.110974862,0.002452483,0,0,0,0.377988964,0,0,0
"Synodus_lucioceps",0,0.01468144,0.010249307,0,0,0,0,0,0.010803324,0
"Cheilotrema_saturnum",0,0.654354273,0,0.000539229,0.001078458,0.337287679,0.001887301,0,0,0.002156916
"Brachyistius_frenatus",0.002311604,0.172907998,0,0,0,0,0.001849283,0,0,0
"Dendroctonus_adjunctus",0,0.194894975,0.003988301,0,0,0,0.032969955,0,0,0
"Lycodes_diapterus",0.001052078,0.006838506,0,0,0,0,0.022356654,0,0,0.254602841
"Pteroplatytrygon_violacea",0.234574613,0.050013591,0.12992661,0.081272085,0.143245447,0.010328894,0.008426203,0.023919543,0,0.008969829
"Glyptocephalus_zachirus",0.02007412,0.063001853,0,0.001544163,0.00123533,0,0.002161828,0.012662137,0,0
"Crematogaster_sp.",0.027178054,0.080772162,0.003810008,0.003048006,0.001778004,0,0.010414021,0,0,0.036322073
"Symphurus_atricaudus",0.002128792,0.101649814,0,0,0,0,0.012506652,0,0,0
"Seriola_dorsalis",0,0.423294811,0.004985271,0,0,0,0.002492635,0,0,0.0140494
"Atherinops_affinis",0,0.000596421,0.000397614,0,0.000397614,0,0,0,0,0
"Lyconema_barbatum",0.009816475,0.021340162,0,0,0,0.000640205,0.008322663,0,0,0.002774221
"Nannobrachium_ritteri",0.001387512,0.10604559,0,0,0,0,0.008325074,0,0,0.440237859
"Mustelus_californicus",0.001753019,0.014608492,0,0,0,0,0.565640826,0,0,0
"Menticirrhus_undulatus",0,0.066336634,0,0,0,0.00039604,0,0,0,0
"Clevelandia_ios",0.006413884,0.539898132,0.003206942,0.000377287,0,0.14978306,0.006225241,0.001509149,0.000943218,0
"Triakis_semifasciata",0,0.003150709,0,0,0,0,0.983371259,0,0,0
